timestamp,node_name,metric_source,cpu_utilization_percent,total_cpu_assigned,machine_cpu_cores,memory_utilization_percent,memory_utilization_bytes,memory_assigned_bytes,machine_memory_total_bytes,cpu_core_watts,cpu_package_watts,memory_power_watts,platform_watts,energy_watts,created_at
1754907399,minikube,prometheus-kepler,34.58,2,11,15.15,2497359872,16485085184,16485085184,147.7528,147.7528,18.7247,82.5731,249.0507,2025-08-11 10:16:39.502566+00
1754907459,minikube,prometheus-kepler,32.64,2,11,15.26,2515357696,16485085184,16485085184,147.688,147.688,18.7229,82.2661,248.677,2025-08-11 10:17:39.618084+00
1754907519,minikube,prometheus-kepler,31.84,2,11,15.3,2522988544,16485085184,16485085184,147.6635,147.6635,18.7221,82.1515,248.5371,2025-08-11 10:18:39.699991+00
1754907579,minikube,prometheus-kepler,30.5,2,11,15.39,2536615936,16485085184,16485085184,147.6225,147.6225,18.7211,81.9506,248.2942,2025-08-11 10:19:39.817497+00
1754907639,minikube,prometheus-kepler,29.31,2,11,15.42,2542362624,16485085184,16485085184,147.5902,147.5902,18.7203,81.7958,248.1062,2025-08-11 10:20:39.916172+00
1754907699,minikube,prometheus-kepler,28.45,2,11,15.45,2547118080,16485085184,16485085184,147.5751,147.5751,18.7194,81.7418,248.0363,2025-08-11 10:21:40.025109+00
1754907760,minikube,prometheus-kepler,28.61,2,11,15.41,2541101056,16485085184,16485085184,147.5715,147.5715,18.7197,81.7064,247.9976,2025-08-11 10:22:40.108154+00
1754907820,minikube,prometheus-kepler,28.8,2,11,15.43,2543267840,16485085184,16485085184,147.5791,147.5791,18.7199,81.7431,248.0422,2025-08-11 10:23:40.21553+00
1754907880,minikube,prometheus-kepler,29.15,2,11,15.44,2545328128,16485085184,16485085184,147.5914,147.5914,18.7203,81.8016,248.1133,2025-08-11 10:24:40.320511+00
1754907940,minikube,prometheus-kepler,28.99,2,11,15.47,2551017472,16485085184,16485085184,147.5879,147.5879,18.7205,81.7718,248.0801,2025-08-11 10:25:40.403029+00
1754908000,minikube,prometheus-kepler,28.94,2,11,15.47,2549547008,16485085184,16485085184,147.5737,147.5737,18.7198,81.717,248.0104,2025-08-11 10:26:40.607051+00
1754908060,minikube,prometheus-kepler,28.92,2,11,15.51,2556940288,16485085184,16485085184,147.5819,147.5819,18.72,81.7616,248.0635,2025-08-11 10:27:40.725034+00
1754908120,minikube,prometheus-kepler,29.9,2,11,15.59,2570326016,16485085184,16485085184,147.6133,147.6133,18.7207,81.9145,248.2485,2025-08-11 10:28:40.777458+00
1754908180,minikube,prometheus-kepler,30.59,2,11,15.85,2612367360,16485085184,16485085184,147.6216,147.6216,18.7213,81.9411,248.284,2025-08-11 10:29:40.915933+00
1754908240,minikube,prometheus-kepler,31.15,2,11,15.84,2610761728,16485085184,16485085184,147.6285,147.6285,18.7212,81.9869,248.3365,2025-08-11 10:30:40.977823+00
1754908300,minikube,prometheus-kepler,32.06,2,11,15.86,2614595584,16485085184,16485085184,147.654,147.654,18.722,82.101,248.477,2025-08-11 10:31:41.040501+00
1754908361,minikube,prometheus-kepler,31.64,2,11,15.82,2607820800,16485085184,16485085184,147.6417,147.6417,18.7219,82.0342,248.3977,2025-08-11 10:32:41.305597+00
1754908421,minikube,prometheus-kepler,34.03,2,11,15.8,2604576768,16485085184,16485085184,147.7476,147.7476,18.7245,82.5537,249.0258,2025-08-11 10:33:41.521636+00
1754908481,minikube,prometheus-kepler,35.21,2,11,15.8,2605441024,16485085184,16485085184,147.7971,147.7971,18.7261,82.7772,249.3005,2025-08-11 10:34:41.807504+00
1754908541,minikube,prometheus-kepler,36.91,2,11,15.83,2609586176,16485085184,16485085184,147.8639,147.8639,18.7279,83.0994,249.6913,2025-08-11 10:35:42.128679+00
1754908602,minikube,prometheus-kepler,34.21,2,11,15.87,2615406592,16485085184,16485085184,147.9542,147.9542,18.7303,83.536,250.2205,2025-08-11 10:36:42.923481+00
1754908662,minikube,prometheus-kepler,33.99,2,11,15.66,2582110208,16485085184,16485085184,147.9371,147.9371,18.7299,83.4494,250.1165,2025-08-11 10:37:43.122054+00
1754908723,minikube,prometheus-kepler,38.7,2,11,15.66,2581078016,16485085184,16485085184,147.938,147.938,18.7297,83.4638,250.1315,2025-08-11 10:38:43.216981+00
1754908783,minikube,prometheus-kepler,36.84,2,11,15.55,2563940352,16485085184,16485085184,147.8554,147.8554,18.7275,83.0638,249.6467,2025-08-11 10:39:43.317985+00
1754908843,minikube,prometheus-kepler,33.29,2,11,15.55,2564009984,16485085184,16485085184,147.7601,147.7601,18.7249,82.6081,249.093,2025-08-11 10:40:43.420882+00
1754908903,minikube,prometheus-kepler,31.92,2,11,15.65,2579099648,16485085184,16485085184,147.6967,147.6967,18.7229,82.3157,248.7353,2025-08-11 10:41:43.838752+00
1754908963,minikube,prometheus-kepler,33.47,2,11,15.73,2592354304,16485085184,16485085184,147.7491,147.7491,18.7248,82.5505,249.0244,2025-08-11 10:42:44.023542+00
1754909024,minikube,prometheus-kepler,36.23,2,11,15.79,2603483136,16485085184,16485085184,147.8056,147.8056,18.7264,82.8184,249.3504,2025-08-11 10:43:44.100589+00
1754909084,minikube,prometheus-kepler,36.59,2,11,15.85,2612391936,16485085184,16485085184,147.8217,147.8217,18.7265,82.9082,249.4564,2025-08-11 10:44:44.218783+00
1754909144,minikube,prometheus-kepler,35.96,2,11,15.81,2606616576,16485085184,16485085184,147.8391,147.8391,18.7273,82.9757,249.5421,2025-08-11 10:45:44.407542+00
1754909204,minikube,prometheus-kepler,33.84,2,11,15.83,2609176576,16485085184,16485085184,147.7577,147.7577,18.7246,82.6044,249.0867,2025-08-11 10:46:44.507854+00
1754909264,minikube,prometheus-kepler,33.95,2,11,15.8,2605457408,16485085184,16485085184,147.7246,147.7246,18.7238,82.446,248.8943,2025-08-11 10:47:44.721171+00
1754909324,minikube,prometheus-kepler,33.06,2,11,15.82,2608549888,16485085184,16485085184,147.7168,147.7168,18.7238,82.3957,248.8362,2025-08-11 10:48:44.900186+00
1754909384,minikube,prometheus-kepler,31.9,2,11,15.68,2584993792,16485085184,16485085184,147.669,147.669,18.7224,82.173,248.5644,2025-08-11 10:49:45.012136+00
1754909445,minikube,prometheus-kepler,30.32,2,11,15.79,2602266624,16485085184,16485085184,147.6358,147.6358,18.7216,82.0062,248.3636,2025-08-11 10:50:45.109206+00
1754909505,minikube,prometheus-kepler,29.96,2,11,15.73,2593837056,16485085184,16485085184,147.5981,147.5981,18.7204,81.8336,248.152,2025-08-11 10:51:45.222572+00
1754909565,minikube,prometheus-kepler,29.63,2,11,15.77,2599309312,16485085184,16485085184,147.5889,147.5889,18.7198,81.808,248.1167,2025-08-11 10:52:45.278293+00
1754909625,minikube,prometheus-kepler,30.53,2,11,15.78,2601488384,16485085184,16485085184,147.6267,147.6267,18.7212,81.9705,248.3184,2025-08-11 10:53:45.512939+00
1754909685,minikube,prometheus-kepler,27.92,2,11,15.86,2615234560,16485085184,16485085184,147.6914,147.6914,18.7231,82.2801,248.6946,2025-08-11 10:54:45.625931+00
1754909745,minikube,prometheus-kepler,28.27,2,11,15.86,2614910976,16485085184,16485085184,147.6887,147.6887,18.7228,82.2747,248.6862,2025-08-11 10:55:45.703426+00
1754909805,minikube,prometheus-kepler,27.48,2,11,15.82,2608021504,16485085184,16485085184,147.6592,147.6592,18.7225,82.108,248.4897,2025-08-11 10:56:45.805071+00
1754909865,minikube,prometheus-kepler,26.51,2,11,15.74,2595565568,16485085184,16485085184,147.6129,147.6129,18.7207,81.9124,248.2459,2025-08-11 10:57:45.925259+00
1754909925,minikube,prometheus-kepler,28.07,2,11,15.87,2616590336,16485085184,16485085184,147.537,147.537,18.7187,81.5419,247.7976,2025-08-11 10:58:45.987552+00
1754909986,minikube,prometheus-kepler,28.55,2,11,15.92,2623791104,16485085184,16485085184,147.5361,147.5361,18.7186,81.5402,247.795,2025-08-11 10:59:46.1312+00
1754910046,minikube,prometheus-kepler,29.06,2,11,15.96,2631380992,16485085184,16485085184,147.5586,147.5586,18.7192,81.653,247.9308,2025-08-11 11:00:46.202013+00
1754910106,minikube,prometheus-kepler,29.51,2,11,15.97,2632916992,16485085184,16485085184,147.565,147.565,18.7197,81.6679,247.9527,2025-08-11 11:01:46.323377+00
1754910166,minikube,prometheus-kepler,29.76,2,11,16,2637266944,16485085184,16485085184,147.579,147.579,18.72,81.7426,248.0415,2025-08-11 11:02:46.504091+00
1754910226,minikube,prometheus-kepler,29.77,2,11,16.06,2646687744,16485085184,16485085184,147.5991,147.5991,18.7206,81.836,248.1557,2025-08-11 11:03:46.588172+00
1754910286,minikube,prometheus-kepler,29.64,2,11,16.05,2646020096,16485085184,16485085184,147.5853,147.5853,18.7202,81.77,248.0755,2025-08-11 11:04:46.628717+00
1754910346,minikube,prometheus-kepler,28.02,2,11,15.95,2629009408,16485085184,16485085184,147.5799,147.5799,18.7198,81.7548,248.0545,2025-08-11 11:05:46.836823+00
